ts,hostname,fleet_host_id,ziti_identity,ziti_identity_id,prev_state,new_state,score,reasons,tdetect,tdecision,tenforce
2026-03-21T05:04:06.754875+00:00,tshark,4,ep-tshark,kfjxwdVj8r,compliant,quarantine,67,"[""[Security] No Crypto-Miner (XMRig) Running""]",2026-03-21T05:04:06.600915+00:00,2026-03-21T05:04:06.745269+00:00,2026-03-21T05:04:06.754886+00:00
2026-03-21T05:05:48.592048+00:00,tshark,4,ep-tshark,kfjxwdVj8r,quarantine,compliant,100,[],2026-03-21T05:05:48.423748+00:00,2026-03-21T05:05:48.565818+00:00,2026-03-21T05:05:48.592064+00:00
2026-03-21T09:41:52.283778+00:00,TINH-2304,3,ep-TINH-2304,d4Ht-gcaz3,,compliant,100,[],2026-03-21T09:41:52.113176+00:00,2026-03-21T09:41:52.262545+00:00,2026-03-21T09:41:52.283790+00:00
2026-03-21T09:41:52.361942+00:00,TRUNG,2,ep-TRUNG,2snmfOSNXv,,compliant,100,[],2026-03-21T09:41:52.286730+00:00,2026-03-21T09:41:52.353864+00:00,2026-03-21T09:41:52.361959+00:00
2026-03-21T09:41:52.461198+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,,compliant,100,[],2026-03-21T09:41:52.365583+00:00,2026-03-21T09:41:52.448058+00:00,2026-03-21T09:41:52.461211+00:00
2026-03-21T09:41:52.797635+00:00,tshark,4,ep-tshark,kfjxwdVj8r,,compliant,100,[],2026-03-21T09:41:52.463786+00:00,2026-03-21T09:41:52.789667+00:00,2026-03-21T09:41:52.797653+00:00
2026-03-21T09:43:43.379644+00:00,TINH-2304,3,ep-TINH-2304,d4Ht-gcaz3,,compliant,100,[],2026-03-21T09:43:43.322773+00:00,2026-03-21T09:43:43.367154+00:00,2026-03-21T09:43:43.379658+00:00
2026-03-21T09:43:43.433374+00:00,TRUNG,2,ep-TRUNG,2snmfOSNXv,,compliant,100,[],2026-03-21T09:43:43.382909+00:00,2026-03-21T09:43:43.423859+00:00,2026-03-21T09:43:43.433390+00:00
2026-03-21T09:43:43.500165+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,,compliant,100,[],2026-03-21T09:43:43.436857+00:00,2026-03-21T09:43:43.489723+00:00,2026-03-21T09:43:43.500183+00:00
2026-03-21T09:43:43.636744+00:00,tshark,4,ep-tshark,kfjxwdVj8r,,compliant,100,[],2026-03-21T09:43:43.504458+00:00,2026-03-21T09:43:43.628594+00:00,2026-03-21T09:43:43.636761+00:00
2026-03-23T00:12:04.565792+00:00,TINH-2304,3,ep-TINH-2304,d4Ht-gcaz3,,compliant,100,[],2026-03-23T00:12:04.399943+00:00,2026-03-23T00:12:04.510026+00:00,2026-03-23T00:12:04.565805+00:00
2026-03-23T00:12:04.647894+00:00,TRUNG,2,ep-TRUNG,2snmfOSNXv,,compliant,100,[],2026-03-23T00:12:04.572170+00:00,2026-03-23T00:12:04.639045+00:00,2026-03-23T00:12:04.647908+00:00
2026-03-23T00:12:04.718714+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,,compliant,100,[],2026-03-23T00:12:04.650535+00:00,2026-03-23T00:12:04.709932+00:00,2026-03-23T00:12:04.718727+00:00
2026-03-23T00:12:05.008502+00:00,tshark,4,ep-tshark,kfjxwdVj8r,,compliant,100,[],2026-03-23T00:12:04.721277+00:00,2026-03-23T00:12:05.000218+00:00,2026-03-23T00:12:05.008515+00:00
2026-03-23T00:16:40.642865+00:00,TINH-2304,3,ep-TINH-2304,d4Ht-gcaz3,,compliant,100,[],2026-03-23T00:16:40.575377+00:00,2026-03-23T00:16:40.632047+00:00,2026-03-23T00:16:40.642878+00:00
2026-03-23T00:16:40.694061+00:00,TRUNG,2,ep-TRUNG,2snmfOSNXv,,compliant,100,[],2026-03-23T00:16:40.645880+00:00,2026-03-23T00:16:40.684667+00:00,2026-03-23T00:16:40.694084+00:00
2026-03-23T00:16:40.749971+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,,compliant,100,[],2026-03-23T00:16:40.697016+00:00,2026-03-23T00:16:40.741153+00:00,2026-03-23T00:16:40.749986+00:00
2026-03-23T00:16:40.910269+00:00,tshark,4,ep-tshark,kfjxwdVj8r,,compliant,100,[],2026-03-23T00:16:40.753624+00:00,2026-03-23T00:16:40.902465+00:00,2026-03-23T00:16:40.910282+00:00
2026-03-23T00:18:21.602854+00:00,TINH-2304,3,ep-TINH-2304,d4Ht-gcaz3,compliant,quarantine,67,"[""Windows - Forbidden process not running (Calculator)""]",2026-03-23T00:18:21.523056+00:00,2026-03-23T00:18:21.570586+00:00,2026-03-23T00:18:21.602870+00:00
2026-03-23T01:30:54.977360+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,compliant,quarantine,67,"[""Windows - Forbidden process not running (Calculator)""]",2026-03-23T01:30:54.860290+00:00,2026-03-23T01:30:54.925105+00:00,2026-03-23T01:30:54.977376+00:00
2026-03-27T05:57:24.081445+00:00,TINH-2304,3,ep-TINH-2304,d4Ht-gcaz3,,quarantine,67,"[""Windows - Forbidden process not running (Calculator)""]",2026-03-27T05:57:23.884328+00:00,2026-03-27T05:57:24.060171+00:00,2026-03-27T05:57:24.081462+00:00
2026-03-27T05:57:24.170265+00:00,TRUNG,2,ep-TRUNG,2snmfOSNXv,,compliant,100,[],2026-03-27T05:57:24.088488+00:00,2026-03-27T05:57:24.159097+00:00,2026-03-27T05:57:24.170283+00:00
2026-03-27T05:57:24.263518+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,,quarantine,67,"[""Windows - Forbidden process not running (Calculator)""]",2026-03-27T05:57:24.173661+00:00,2026-03-27T05:57:24.252172+00:00,2026-03-27T05:57:24.263530+00:00
2026-03-27T05:57:24.668350+00:00,tshark,4,ep-tshark,kfjxwdVj8r,,compliant,100,[],2026-03-27T05:57:24.267316+00:00,2026-03-27T05:57:24.658084+00:00,2026-03-27T05:57:24.668363+00:00
